timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1475683333711,143,Small txt 18KB,200,OK,Artifactory Download 1-1,text,true,,19723,1,1,143,0
1475683333856,18,Small XML 1.21KB,200,OK,Artifactory Download 1-1,text,true,,1887,1,1,18,0
1475683333876,35,Small JAR 345KB,200,OK,Artifactory Download 1-1,text,true,,350830,1,1,24,0
1475683334214,26,Small txt 18KB,200,OK,Artifactory Download 1-2,text,true,,19723,2,2,23,0
1475683334242,18,Small XML 1.21KB,200,OK,Artifactory Download 1-2,text,true,,1887,2,2,18,0
1475683334261,183,Small JAR 345KB,200,OK,Artifactory Download 1-2,text,true,,350830,2,2,19,0
1475683334724,16,Small txt 18KB,200,OK,Artifactory Download 1-3,text,true,,19723,3,3,16,0
1475683334742,12,Small XML 1.21KB,200,OK,Artifactory Download 1-3,text,true,,1887,3,3,12,0
1475683334756,26,Small JAR 345KB,200,OK,Artifactory Download 1-3,text,true,,350830,3,3,13,0
1475683335212,25,Small txt 18KB,200,OK,Artifactory Download 1-4,text,true,,19723,3,3,24,0
1475683335239,15,Small XML 1.21KB,200,OK,Artifactory Download 1-4,text,true,,1887,3,3,15,0
1475683335256,65,Small JAR 345KB,200,OK,Artifactory Download 1-4,text,true,,350830,3,3,23,0
1475683335714,28,Small txt 18KB,200,OK,Artifactory Download 1-5,text,true,,19723,3,3,28,0
1475683335745,23,Small XML 1.21KB,200,OK,Artifactory Download 1-5,text,true,,1887,3,3,23,0
1475683336213,26,Small txt 18KB,200,OK,Artifactory Download 1-6,text,true,,19723,3,3,25,0
1475683335770,480,Small JAR 345KB,200,OK,Artifactory Download 1-5,text,true,,350830,2,2,20,0
1475683336241,22,Small XML 1.21KB,200,OK,Artifactory Download 1-6,text,true,,1887,2,2,22,0
1475683336265,271,Small JAR 345KB,200,OK,Artifactory Download 1-6,text,true,,350830,2,2,254,0
1475683336821,30,Small txt 18KB,200,OK,Artifactory Download 1-7,text,true,,19723,3,3,28,0
1475683336853,30,Small XML 1.21KB,200,OK,Artifactory Download 1-7,text,true,,1887,3,3,30,0
1475683337214,41,Small txt 18KB,200,OK,Artifactory Download 1-8,text,true,,19723,4,4,40,0
1475683336885,390,Small JAR 345KB,200,OK,Artifactory Download 1-7,text,true,,350830,4,4,23,0
1475683337260,27,Small XML 1.21KB,200,OK,Artifactory Download 1-8,text,true,,1887,4,4,27,0
1475683337291,287,Small JAR 345KB,200,OK,Artifactory Download 1-8,text,true,,350830,4,4,21,0
1475683337855,31,Small txt 18KB,200,OK,Artifactory Download 1-9,text,true,,19723,5,5,30,0
1475683337889,16,Small XML 1.21KB,200,OK,Artifactory Download 1-9,text,true,,1887,5,5,16,0
1475683337908,74,Small JAR 345KB,200,OK,Artifactory Download 1-9,text,true,,350830,5,5,29,0
1475683338260,64,Small txt 18KB,200,OK,Artifactory Download 1-10,text,true,,19723,6,6,56,0
1475683338326,52,Small XML 1.21KB,200,OK,Artifactory Download 1-10,text,true,,1887,6,6,52,0
1475683338380,430,Small JAR 345KB,200,OK,Artifactory Download 1-10,text,true,,350830,5,5,42,0
